FEATURE,TIPO_METRICA,METRICA,VALOR
TODAS,LOC,N/A,52049
COLOR,GranularityType,Import,3
COLOR,GranularityType,Method,9
COLOR,GranularityType,Statement,39
COLOR,GranularityType,Class,2
COLOR,GranularityType,Attribute,8
COLOR,GranularityType,Expression,2
COLOR,GranularityType,InterfaceMethod,4
COLOR,SD,N/A,67
BACKGROUND_COLOR,GranularityType,Import,2
BACKGROUND_COLOR,GranularityType,Method,5
BACKGROUND_COLOR,GranularityType,Class,1
BACKGROUND_COLOR,GranularityType,Statement,20
BACKGROUND_COLOR,GranularityType,Attribute,13
BACKGROUND_COLOR,GranularityType,Expression,2
BACKGROUND_COLOR,GranularityType,InterfaceMethod,4
BACKGROUND_COLOR,SD,N/A,47
CLOUD,GranularityType,Interface,1
CLOUD,GranularityType,Import,4
CLOUD,GranularityType,Method,8
CLOUD,GranularityType,Statement,19
CLOUD,GranularityType,Class,5
CLOUD,GranularityType,Attribute,3
CLOUD,GranularityType,Expression,7
CLOUD,GranularityType,InterfaceMethod,4
CLOUD,OR,N/A,7
CLOUD,SD,N/A,57
BUBBLED_STYLE,GranularityType,Statement,5
BUBBLED_STYLE,GranularityType,Class,1
BUBBLED_STYLE,GranularityType,Attribute,3
BUBBLED_STYLE,GranularityType,Expression,1
BUBBLED_STYLE,SD,N/A,10
TODAS,#Classes,N/A,667
TODAS,#Pacotes,N/A,46
ICONS,GranularityType,Import,9
ICONS,GranularityType,Method,12
ICONS,GranularityType,Statement,56
ICONS,GranularityType,Class,9
ICONS,GranularityType,Attribute,12
ICONS,GranularityType,Expression,1
ICONS,GranularityType,InterfaceMethod,6
ICONS,SD,N/A,105
CLOUD_COLOR,GranularityType,Method,1
CLOUD_COLOR,GranularityType,Class,1
CLOUD_COLOR,GranularityType,Statement,3
CLOUD_COLOR,GranularityType,Attribute,1
CLOUD_COLOR,GranularityType,InterfaceMethod,1
CLOUD_COLOR,OR,N/A,7
CLOUD_COLOR,SD,N/A,8
ENCRYPTED_NODE,GranularityType,Import,1
ENCRYPTED_NODE,GranularityType,Method,2
ENCRYPTED_NODE,GranularityType,Statement,2
ENCRYPTED_NODE,GranularityType,Class,6
ENCRYPTED_NODE,GranularityType,Attribute,2
ENCRYPTED_NODE,GranularityType,InterfaceMethod,1
ENCRYPTED_NODE,SD,N/A,14
BLINK,GranularityType,Class,1
BLINK,SD,N/A,1
ARROW_LINK,GranularityType,Import,12
ARROW_LINK,GranularityType,Method,11
ARROW_LINK,GranularityType,Class,10
ARROW_LINK,GranularityType,Statement,29
ARROW_LINK,GranularityType,Attribute,10
ARROW_LINK,GranularityType,Expression,5
ARROW_LINK,GranularityType,ClassSignature,2
ARROW_LINK,GranularityType,InterfaceMethod,6
ARROW_LINK,SD,N/A,85
SORT,GranularityType,Class,1
SORT,SD,N/A,1
